================================================================================
Cleanup-Log
================================================================================
Skript                    : cleanup.ps1
Autor                     : Stefan Homberg
Startzeit                 : 2026-06-14 08:31:21
Benutzer                  : ZEROBIT-BLADE\zerob
Computer                  : ZEROBIT-BLADE
PowerShell-Version        : 5.1.26100.8655
PowerShell-Edition        : Desktop
Interaktiver Lauf         : Ja
Automatisierung           : Nicht vorgesehen / wird bewusst blockiert
DryRun                    : True
WhatIfPreference          : False
MinimumAgeInYears         : 5
FileCutoffDate Eingabe    : 
Datei-Schwellen-Datum     : 06/14/2021 00:00:00
Datei-Schwellen-Quelle    : Standard: Heute minus 5 Jahre
Leere Verzeichnisse       : Unabhaengig vom Alter
LogPath                   : C:\Users\zerob\Documents\ibb\powershell\cleanup\20260614\to_delete_20260614_083108.log
Kandidatendatei-Ordner    : C:\Users\zerob\Documents\ibb\powershell\cleanup\20260614
ACHTUNG                   : Bei echtem Lauf werden protokollierte Eintraege endgueltig geloescht.
================================================================================

[2026-06-14 08:31:21.326] INFO	Aufgeloeste Eingabepfade:
[2026-06-14 08:31:22.456] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\entities\Budget.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.457] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\entities\Expense.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.458] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\entities\TrackedMonth.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.459] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\entities\User.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:25.009] FOUND_FILE	Pfad=C:\Users\zerob\Documents\bewerbung\ihk_zeugniss.jpg	LastWriteTime=2018-07-29 13:19:26
[2026-06-14 08:31:25.088] FOUND_FILE	Pfad=C:\Users\zerob\Documents\bewerbung\portfolio_film\stefan_malte_homberg_portfolio.mp4	LastWriteTime=2018-05-28 10:06:54
[2026-06-14 08:31:25.252] PHASE_SUMMARY	Dateisuche abgeschlossen	FoundFileCount=93	ProcessedFileCount=8083	ProcessedDirectoryCount=1796
[2026-06-14 08:31:25.287] DRYRUN	Datei wuerde geloescht werden	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\x64\ExporterHost.dll
[2026-06-14 08:31:25.289] DRYRUN	Datei wuerde geloescht werden	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\Data\x64\ExporterHost.dll
[2026-06-14 08:31:25.289] DRYRUN	Datei wuerde geloescht werden	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\Data\info\DIC Swatch ReadMe.pdf
[2026-06-14 08:31:25.291] DRYRUN	Datei wuerde geloescht werden	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\Data\info\How-To CFF Extension.pdf
